state_abbr,finding_rows,state_name
TX,1812,Texas
CA,1796,California
NY,1735,New York
PA,1066,Pennsylvania
NC,955,North Carolina
IL,769,Illinois
FL,731,Florida
MA,720,Massachusetts
DC,651,District of Columbia
OH,613,Ohio
GA,604,Georgia
TN,516,Tennessee
WA,505,Washington
MD,469,Maryland
MI,434,Michigan
OR,432,Oregon
LA,401,Louisiana
MN,372,Minnesota
KY,362,Kentucky
CO,353,Colorado
WI,336,Wisconsin
OK,331,Oklahoma
NJ,319,New Jersey
MO,295,Missouri
IN,286,Indiana
SC,278,South Carolina
AR,254,Arkansas
NM,254,New Mexico
KS,233,Kansas
VA,228,Virginia
MS,214,Mississippi
AZ,180,Arizona
ME,174,Maine
IA,159,Iowa
WV,154,West Virginia
CT,124,Connecticut
AL,107,Alabama
UT,86,Utah
NE,85,Nebraska
NV,73,Nevada
AK,60,Alaska
DE,44,Delaware
ID,34,Idaho
HI,32,Hawaii
VT,31,Vermont
RI,29,Rhode Island
NH,25,New Hampshire
SD,20,South Dakota
WY,14,Wyoming
MT,12,Montana
ND,1,North Dakota
