state_abbr,findings,avg_effect,avg_log_pp_exp,avg_poverty
AK,60.0,0.17828228246153974,9.408502758519491,0.18373333333333336
AL,108.0,0.199417489760957,9.365732068803673,0.2758055555555556
AR,244.0,0.22140999078882387,9.23476508539386,0.535766393442623
AZ,184.0,0.19579466130588247,9.339761897320745,0.32504891304347827
CA,1751.0,0.01717179297806682,9.362802875545416,0.2774110793832096
CO,373.0,-0.4574423341184447,9.403597004844547,0.1885388739946381
CT,124.0,0.13598561780098975,9.355244691087146,0.29508870967741935
DC,631.0,-0.23086951972465308,9.308955643087954,0.3903961965134707
DE,44.0,0.09027487760181913,9.409700286303599,0.18043181818181817
FL,732.0,0.14921949051659963,9.366213876975891,0.27337076502732244
GA,622.0,-0.19800991618852284,9.301477350742012,0.4006221864951769
HI,32.0,0.27644450461253606,9.34628531124933,0.31415625
IA,179.0,-1.1637678895734145,9.431630276350887,0.1338491620111732
ID,39.0,0.25056186010642234,9.40524324563079,0.18987179487179487
IL,750.0,-0.14905250866768263,9.330299780146694,0.338952
IN,284.0,0.2093504823231045,9.38758021734264,0.22660915492957745
KS,247.0,-0.8210148818104945,9.40137277739792,0.19741295546558704
KY,376.0,-0.4444561965427589,9.371614891445232,0.2656196808510638
LA,399.0,-0.47618459804907143,9.35500018736791,0.2984937343358396
MA,731.0,-0.12540597919530586,9.346050609580937,0.30580889192886457
MD,434.0,0.20754832729578837,9.358344203642133,0.2812027649769585
ME,192.0,-1.0838976050842466,9.423811165525516,0.15156770833333333
MI,443.0,-0.42058402989227167,9.38465059702344,0.23703160270880358
MN,392.0,-0.4983672700176061,9.371798971182722,0.2527602040816326
MO,333.0,-0.58473192813321,9.370578606834911,0.2647177177177177
MS,237.0,-0.8855036577798632,9.32219795402911,0.3670464135021097
NC,962.0,-0.07459233136445044,9.39689947352097,0.2113201663201663
NE,99.0,0.16060680624758483,9.411433287019971,0.17516161616161618
NH,21.0,0.07457213712369724,9.423601572894183,0.15176190476190476
NJ,337.0,-0.565876435188475,9.416815078991563,0.16647477744807124
NM,255.0,0.12546299828666652,9.343352598611599,0.31872941176470587
NV,72.0,0.07205062075268188,9.30252429674876,0.4078611111111111
NY,1715.0,0.039837959852773164,9.357077470537574,0.2892997084548105
OH,630.0,-0.16272839959066002,9.385857154391068,0.22839523809523807
OK,344.0,-0.4907944935934479,9.28303644712473,0.43910465116279074
OR,450.0,-0.3169364909089289,9.4024568410178,0.19527777777777777
PA,1054.0,-0.06200214462058877,9.363597736722154,0.2759022770398482
RI,28.0,0.23693528527419327,9.391634108413013,0.2196428571428571
SC,305.0,-0.6232613117612152,9.35154639220174,0.30736524590163933
SD,24.0,0.182027248944141,9.355526041272626,0.2962916666666667
TN,494.0,0.19891246805041035,9.36917766854667,0.2654880566801619
TX,1796.0,0.14943664720660071,9.344938714852336,0.3142149777282851
UT,78.0,0.3539690398030742,9.411928859698374,0.17461538461538462
VA,225.0,0.10511675265380968,9.414460433546502,0.17148444444444447
WA,518.0,-0.29542482229758515,9.395560335415839,0.21016023166023165
WI,343.0,-0.5112489801479749,9.41049919157086,0.1766880466472303
WV,177.0,-1.1924045082243668,9.388735607686959,0.23018644067796612
